날짜,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5,기온(°C)
2021-10-08 20,0.003,0.4,0.003,0.028,14,6,18.8
2021-10-08 21,0.003,0.3,0.007,0.02,13,8,18.7
2021-10-08 22,0.003,0.3,0.007,0.019,11,5,18.7
2021-10-08 23,0.003,0.3,0.009,0.016,12,6,18.8
2021-10-08 24,0.003,0.3,0.012,0.014,10,4,18.9
2021-10-09 01,0.003,0.3,0.015,0.011,10,6,19
2021-10-09 02,0.003,0.3,0.016,0.01,9,3,18.9
2021-10-09 03,0.003,0.3,0.016,0.01,11,4,18.8
2021-10-09 04,0.003,0.3,0.02,0.008,7,3,18.6
2021-10-09 05,0.003,0.2,0.02,0.008,8,1,18.6
2021-10-09 06,0.003,0.2,0.019,0.011,7,1,18.8
2021-10-09 07,0.003,0.3,0.014,0.017,7,3,18.8
2021-10-09 08,0.003,0.3,0.014,0.017,7,1,18.8
2021-10-09 09,0.003,0.3,0.011,0.021,9,1,19.2
2021-10-09 10,0.003,0.3,0.014,0.018,8,1,20.7
2021-10-09 11,0.003,0.3,0.017,0.017,7,3,21.3
2021-10-09 12,0.003,0.3,0.021,0.013,6,1,22.1
2021-10-09 13,0.003,0.3,0.02,0.016,7,1,22.3
2021-10-09 14,0.003,0.3,0.021,0.014,8,3,22.9
2021-10-09 15,0.003,0.3,0.018,0.017,9,3,23.1
2021-10-09 16,0.003,0.3,0.018,0.017,11,4,23.4
2021-10-09 17,0.003,0.3,0.018,0.016,9,3,24
2021-10-09 18,0.003,0.3,0.012,0.02,10,4,23.1
2021-10-09 19,0.003,0.4,0.006,0.026,14,9,22.2
2021-10-09 20,0.003,0.4,0.006,0.023,12,6,21.7
2021-10-09 21,0.003,0.4,0.004,0.024,14,6,21.3
2021-10-09 22,0.003,0.5,,0.028,14,6,21.1
2021-10-09 23,0.003,0.6,,0.028,16,7,20.8
2021-10-09 24,0.003,0.5,,0.027,16,6,20.4
2021-10-10 01,0.003,0.5,,0.025,15,7,20.3
2021-10-10 02,0.003,0.4,,0.022,14,6,20.4
2021-10-10 03,0.003,0.4,0.001,0.021,18,7,20.5
2021-10-10 04,0.003,0.4,0.001,0.02,17,8,20.6
2021-10-10 05,0.003,0.4,0.001,0.019,20,11,20.6
2021-10-10 06,0.003,0.4,0.001,0.02,18,9,20.7
2021-10-10 07,0.003,0.4,0.011,0.016,22,14,20.8
2021-10-10 08,0.003,0.3,0.022,0.011,25,15,21.5
2021-10-10 09,0.004,0.3,0.023,0.013,28,18,22.5
2021-10-10 10,0.004,0.4,0.028,0.012,29,19,23.6
2021-10-10 11,0.004,0.4,0.03,0.013,36,21,23.7
2021-10-10 12,0.005,0.4,0.035,0.012,32,20,24.1
2021-10-10 13,0.004,0.3,0.04,0.008,35,22,21.9
2021-10-10 14,0.003,0.3,0.029,0.011,23,14,21.2
2021-10-10 15,0.003,0.3,0.024,0.017,11,6,20.5
2021-10-10 16,0.003,0.3,0.027,0.015,8,4,20.2
2021-10-10 17,0.003,0.4,0.028,0.015,8,4,19.7
2021-10-10 18,0.003,0.4,0.032,0.011,6,3,19.1
2021-10-10 19,0.003,0.5,0.033,0.011,11,6,18.2
2021-10-10 20,0.003,0.5,0.031,0.012,13,7,17.6
2021-10-10 21,0.002,0.4,0.031,0.01,22,12,16.6
2021-10-10 22,0.003,0.4,0.037,0.008,26,13,15.6
2021-10-10 23,0.003,0.4,0.036,0.008,31,15,15.1
2021-10-10 24,0.003,0.4,0.03,0.011,35,17,14.9
2021-10-11 01,0.003,0.3,0.028,0.009,35,15,14.1
2021-10-11 02,0.003,0.3,0.026,0.006,38,11,13.5
2021-10-11 03,0.003,0.3,0.025,0.007,39,8,13.4
2021-10-11 04,0.003,0.3,0.021,0.008,36,9,13.1
2021-10-11 05,0.003,0.3,0.021,0.008,36,10,12.9
2021-10-11 06,0.003,0.3,0.024,0.008,28,8,12.8
2021-10-11 07,0.003,0.3,0.02,0.012,23,10,12.6
2021-10-11 08,0.003,0.3,0.016,0.015,25,7,12.8
2021-10-11 09,0.003,0.3,0.018,0.015,23,8,13.5
2021-10-11 10,0.003,0.3,0.021,0.016,20,6,15
2021-10-11 11,0.003,0.3,0.024,0.014,24,8,15.3
2021-10-11 12,0.003,0.3,0.023,0.015,24,7,16.2
2021-10-11 13,0.003,0.4,0.021,0.016,24,8,16.5
2021-10-11 14,0.003,0.3,0.02,0.016,27,10,16.6
2021-10-11 15,0.003,0.3,0.021,0.016,27,11,17
2021-10-11 16,0.003,0.3,0.023,0.014,25,9,17.5
2021-10-11 17,0.003,0.3,0.023,0.015,23,9,17.2
2021-10-11 18,0.002,0.3,0.022,0.015,21,10,16.7
2021-10-11 19,0.003,0.3,0.02,0.017,19,9,16.1
2021-10-11 20,0.003,0.3,0.019,0.017,17,8,15.6
2021-10-11 21,0.003,0.3,0.021,0.015,17,7,16.1
2021-10-11 22,0.003,0.3,0.022,0.013,17,7,16.2
2021-10-11 23,0.003,0.3,0.024,0.011,18,7,16.3
2021-10-11 24,0.003,0.3,0.026,0.009,13,5,16.2
2021-10-12 01,0.003,0.2,0.028,0.006,11,3,16.1
2021-10-12 02,0.003,0.2,0.028,0.006,8,2,15.8
2021-10-12 03,0.003,0.2,0.029,0.006,9,1,15.9
2021-10-12 04,0.003,0.2,0.03,0.006,6,1,15.9
2021-10-12 05,0.003,0.2,0.029,0.007,6,3,16
2021-10-12 06,0.003,0.2,0.025,0.011,5,1,16
2021-10-12 07,0.003,0.2,0.021,0.017,6,2,16
2021-10-12 08,0.003,0.3,0.018,0.022,9,2,16.4
